name,x,y,distance_to_0,distance_to_1,distance_to_2,distance_to_3,distance_to_4,distance_to_5,distance_to_6,distance_to_7,distance_to_8,distance_to_9,distance_to_10,distance_to_11,distance_to_12,distance_to_13,distance_to_14,distance_to_15,distance_to_16,distance_to_17,distance_to_18,distance_to_19,distance_to_20,distance_to_21,distance_to_22,distance_to_23,distance_to_24,distance_to_25,distance_to_26,distance_to_27,distance_to_28,distance_to_29,distance_to_30,distance_to_31,distance_to_32,distance_to_33,distance_to_34
Hospoda U Bukanyra,4093.668587901138,0.506051287318474,3.5614141608903935,3.4639119523238495,3.58173716158884,3.196109207229667,1.9783724565252427,1.8573004362218393,0.6941437962138811,0.775911042119012,0.6102722982040172,0.041933362370317875,0.0,0.607625959194482,0.8981251559906225,1.0200730746224123,1.37495549906858,1.73052030270004,1.979902275266675,2.529653305937641,2.615355644918236,2.755200334967163,3.2709764798949084,2.83022597696576,2.9223622930556417,1.8927842183566437,2.137757320959473,2.2676976751150275,2.3416382033630248,2.2993045029199357,2.2093543685502284,2.1387949767659693,1.8096642587843257,1.7591187289898764,1.760030019401215,1.8762183459557549,1.7588572734974526
Bar Barbar,4093.2030037125915,0.21896330808840242,2.953788201695912,2.8562859931293674,2.9741112023943583,2.588483248035185,1.3707464973307604,1.2496744770273571,0.08651783701939897,0.16828508292452987,0.002646339009535132,0.6495593215647999,0.607625959194482,0.0,0.2904991967961404,0.41244711542793017,0.7673295398740979,1.122894343505558,1.3722763160721931,1.9220273467431594,2.0077296857237537,2.147574375772681,2.663350520700426,2.2226000177712772,2.3147363338611595,1.285158259162162,1.5301313617649908,1.6600717159205456,1.7340122441685424,1.6916785437254536,1.6017284093557462,1.5311690175714874,1.2020382995898435,1.1514927697953945,1.1524040602067327,1.2685923867612725,1.1512313143029707
Pivni Raj Na Radhosti,4092.980390252001,0.16677967471393812,2.663289004899771,2.565786796333227,2.683612005598218,2.2979840512390446,1.0802473005346203,0.9591752802312168,0.2039813597767414,0.12221411387161049,0.2878528577866053,0.9400585183609403,0.8981251559906225,0.2904991967961404,0.0,0.12194791863178979,0.4768303430779574,0.8323951467094177,1.0817771192760526,1.6315281499470187,1.717230488927613,1.8570751789765407,2.372851323904286,1.932100820975137,2.024237137065019,0.9946590623660215,1.2396321649688506,1.3695725191244055,1.4435130473724018,1.4011793469293132,1.311229212559606,1.240669820775347,0.9115391027937033,0.8609935729992542,0.8619048634105924,0.9780931899651322,0.8607321175068304
U Vojk,4092.886618168099,1.6224502968308754,2.5413410862679813,2.4438388777014373,2.561664086966428,2.176036132607255,0.9582993819028305,0.837227361599427,0.3259292784085312,0.24416203250340027,0.4098007764183951,1.06200643699273,1.0200730746224123,0.41244711542793017,0.12194791863178979,0.0,0.3548824244461676,0.710447228077628,0.9598292006442628,1.5095802313152287,1.5952825702958235,1.735127260344751,2.250903405272496,1.8101529023433471,1.9022892184332294,0.8727111437342315,1.1176842463370604,1.2476246004926153,1.3215651287406125,1.2792314282975235,1.189281293927816,1.1187219021435573,0.7895911841619134,0.7390456543674644,0.7399569447788027,0.8561452713333424,0.7387841988750404
Vinoteka In Vino Veritas,4092.6145740391453,1.799446132350049,2.1864586618218134,2.08895645325527,2.2067816625202608,1.8211537081610871,0.6034169574566629,0.4823449371532594,0.6808117028546988,0.5990444569495679,0.7646832008645628,1.4168888614388977,1.37495549906858,0.7673295398740979,0.4768303430779574,0.3548824244461676,0.0,0.3555648036314604,0.6049467761980952,1.1546978068690612,1.240400145849656,1.3802448358985835,1.8960209808263286,1.4552704778971792,1.5474067939870617,0.5178287192880641,0.7628018218908931,0.8927421760464477,0.9666827042944446,0.9243490038513562,0.8343988694816483,0.7638394776973897,0.43470875971574585,0.3841632299212968,0.385074520332635,0.5012628468871748,0.38390177442887286
Restaurant Daick Dvur,4092.3419173856055,2.114821535522791,1.830893858190353,1.7333916496238093,1.8512168588888003,1.4655889045296269,0.2478521538252024,0.12678013352179898,1.0363765064861592,0.9546092605810282,1.120248004496023,1.772453665070358,1.73052030270004,1.122894343505558,0.8323951467094177,0.710447228077628,0.3555648036314604,0.0,0.2493819725666348,0.7991330032376007,0.8848353422181956,1.024680032267123,1.540456177194868,1.099705674265719,1.1918419903556015,0.16226391565660364,0.40723701825943265,0.5371773724149873,0.6111179006629843,0.5687842002198955,0.4788340658501879,0.4082746740659292,0.07914395608428546,0.028598426289836398,0.02950971670117463,0.14569804325571445,0.02833697079741245
U Vojtechu,4092.1503952991898,2.7646924076084565,1.5815118856237185,1.4840096770571745,1.6018348863221654,1.2162069319629922,0.0015298187414323988,0.1226018390448358,1.285758479052794,1.203991233147663,1.3696299770626577,2.021835637636993,1.979902275266675,1.3722763160721931,1.0817771192760526,0.9598292006442628,0.6049467761980952,0.2493819725666348,0.0,0.549751030670966,0.635453369651561,0.7752980597004883,1.291074204628233,0.8503237016990844,0.9424600177889667,0.08711805691003113,0.1578550456927979,0.28779539984835256,0.3617359280963495,0.31940222765326076,0.2294520932835531,0.15889270149929444,0.17023801648234932,0.2207835462767984,0.21987225586546014,0.10368392931092038,0.22104500176922237
Gara,4091.729205132438,2.4849112989937625,1.0317608549527524,0.9342586463862086,1.0520838556511996,0.6664559012920261,0.5512808494123983,0.6723528697158017,1.8355095097237597,1.753742263818629,1.9193810077336237,2.5715866683079587,2.529653305937641,1.9220273467431594,1.6315281499470187,1.5095802313152287,1.1546978068690612,0.7991330032376007,0.549751030670966,0.0,0.08570233898059501,0.22554702902952234,0.7413231739572674,0.3005726710281184,0.39270898711800084,0.636869087580997,0.39189598497816797,0.26195563082261336,0.18801510257461643,0.23034880301770513,0.3202989373874128,0.3908583291716715,0.7199890471533152,0.7705345769477644,0.7696232865364261,0.6534349599818863,0.7707960324401884
Bowling bar Dubina Pardubice,4091.663354085108,2.735301697391815,0.9460585159721575,0.8485563074056135,0.9663815166706043,0.580753562311431,0.6369831883929933,0.7580552086963966,1.9212118487043548,1.839444602799224,2.005083346714219,2.6572890072885538,2.615355644918236,2.0077296857237537,1.717230488927613,1.5952825702958235,1.240400145849656,0.8848353422181956,0.635453369651561,0.08570233898059501,0.0,0.13984469004892733,0.6556208349766723,0.21487033204752337,0.30700664813740586,0.722571426561592,0.477598323958763,0.3476579698032084,0.2737174415552114,0.31605114199830014,0.40600127636800776,0.4765606681522665,0.8056913861339102,0.8562369159283594,0.8553256255170212,0.7391372989624813,0.8564983714207833
Hospoda U Maxe,4091.5560939096626,2.833528478854504,0.8062138259232302,0.7087116173566863,0.826536826621677,0.4409088722625037,0.7768278784419207,0.8978998987453242,2.0610565387532827,1.9792892928481511,2.144928036763146,2.797133697337481,2.755200334967163,2.147574375772681,1.8570751789765407,1.735127260344751,1.3802448358985835,1.024680032267123,0.7752980597004883,0.22554702902952234,0.13984469004892733,0.0,0.515776144927745,0.07502564199859604,0.16716195808847847,0.8624161166105194,0.6174430140076903,0.4875026598521357,0.41356213160413874,0.4558958320472275,0.5458459664169351,0.6164053582011939,0.9455360761828375,0.9960816059772868,0.9951703155659484,0.8789819890114086,0.9963430614697106
